Taxa,Year,Location,Plant_height,Plant height collected in 2015 was new data in present study
PR1314_2681,2015,Manhattan,130,
PR1314_2682,2015,Manhattan,115.333333333333,
PR1314_2689,2015,Manhattan,108,
PR1314_2696,2015,Manhattan,98,
PR1314_2704,2015,Manhattan,141.333333333333,
PR1314_2706,2015,Manhattan,94,
PR1314_2708,2015,Manhattan,100,
PR1314_2717,2015,Manhattan,125.333333333333,
PR1314_2718,2015,Manhattan,92,
PR1314_2734,2015,Manhattan,129.333333333333,
PR1314_2737,2015,Manhattan,86,
PR1314_2741,2015,Manhattan,114,
PR1314_2744,2015,Manhattan,87.3333333333333,
PR1314_2745,2015,Manhattan,100,
PR1314_2749,2015,Manhattan,166.666666666667,
PR1314_2754,2015,Manhattan,97.3333333333333,
PR1314_2756,2015,Manhattan,106.666666666667,
PR1314_2760,2015,Manhattan,121.333333333333,
PR1314_2764,2015,Manhattan,120,
PR1314_2772,2015,Manhattan,163.333333333333,
PR1314_2775,2015,Manhattan,128,
PR1314_2785,2015,Manhattan,134,
PR1314_2792,2015,Manhattan,114,
PR1314_2802,2015,Manhattan,104.666666666667,
PR1314_2822,2015,Manhattan,102.666666666667,
PR1314_2824,2015,Manhattan,127.333333333333,
PR1314_2829,2015,Manhattan,178,
PR1314_2831,2015,Manhattan,116,
PR1314_2838,2015,Manhattan,130.666666666667,
PR1314_2839,2015,Manhattan,178.666666666667,
PR1314_2845,2015,Manhattan,134,
PR1314_2853,2015,Manhattan,104.666666666667,
PR1314_2866,2015,Manhattan,92.6666666666667,
PR1314_2871,2015,Manhattan,114,
PR1314_2880,2015,Manhattan,144.666666666667,
PR1314_2886,2015,Manhattan,105.333333333333,
PR1314_2916,2015,Manhattan,141.333333333333,
PR1314_2922,2015,Manhattan,104.666666666667,
PR1314_2935,2015,Manhattan,160.666666666667,
PR1314_2936,2015,Manhattan,96.6666666666667,
PR1314_2955,2015,Manhattan,124,
PR1314_2957,2015,Manhattan,166,
PR1314_2984,2015,Manhattan,132,
PR1314_2994,2015,Manhattan,152,
PR1314_2997,2015,Manhattan,120,
PR1314_3001,2015,Manhattan,104,
PR1314_3003,2015,Manhattan,141.333333333333,
PR1314_3006,2015,Manhattan,120.666666666667,
PR1314_3016,2015,Manhattan,137.333333333333,
PR1314_3017,2015,Manhattan,112.666666666667,
PR1314_3018,2015,Manhattan,138,
PR1314_3023,2015,Manhattan,126,
PR1314_3025,2015,Manhattan,121.333333333333,
PR1314_3027,2015,Manhattan,170,
PR1314_3028,2015,Manhattan,118,
PR1314_3029,2015,Manhattan,94,
PR1314_3038,2015,Manhattan,140.666666666667,
PR1314_3046,2015,Manhattan,144.666666666667,
PR1314_3047,2015,Manhattan,123.333333333333,
PR1314_3051,2015,Manhattan,120,
PR1314_3053,2015,Manhattan,141.333333333333,
PR1314_3075,2015,Manhattan,134,
PR1314_3076,2015,Manhattan,120.666666666667,
PR1314_3079,2015,Manhattan,134.666666666667,
PR1314_3090,2015,Manhattan,134.666666666667,
PR1314_3094,2015,Manhattan,100,
PR1314_3116,2015,Manhattan,86.6666666666667,
PR1314_3122,2015,Manhattan,106,
PR1314_3124,2015,Manhattan,134.666666666667,
PR1314_3125,2015,Manhattan,122.666666666667,
PR1314_3132,2015,Manhattan,102,
PR1314_3136,2015,Manhattan,110.666666666667,
PR1314_3145,2015,Manhattan,153.333333333333,
PR1314_3150,2015,Manhattan,131.333333333333,
PR1314_3157,2015,Manhattan,98,
PR1314_3158,2015,Manhattan,156.666666666667,
PR1314_3160,2015,Manhattan,127.333333333333,
PR1314_3162,2015,Manhattan,96,
PR1314_3163,2015,Manhattan,144,
PR1314_3166,2015,Manhattan,95.3333333333333,
PR1314_3172,2015,Manhattan,140,
PR1314_3178,2015,Manhattan,115.333333333333,
PR1314_3184,2015,Manhattan,128.666666666667,
PR1314_3185,2015,Manhattan,92.6666666666667,
PR1314_3186,2015,Manhattan,142,
PR1314_3191,2015,Manhattan,142,
PR1314_3195,2015,Manhattan,103.333333333333,
PR1314_3208,2015,Manhattan,108.666666666667,
PR1314_3210,2015,Manhattan,109.333333333333,
PR1314_3215,2015,Manhattan,126.666666666667,
PR1314_3221,2015,Manhattan,180,
PR1314_3222,2015,Manhattan,107.333333333333,
PR1314_3225,2015,Manhattan,130,
PR1314_3227,2015,Manhattan,127.333333333333,
PR1314_3236,2015,Manhattan,115.333333333333,
PR1314_3245,2015,Manhattan,103.333333333333,
PR1314_3246,2015,Manhattan,167.333333333333,
PR1314_3283,2015,Manhattan,168.666666666667,
PR1314_3285,2015,Manhattan,152,
PR1314_3287,2015,Manhattan,98.6666666666667,
PR1314_3289,2015,Manhattan,101.333333333333,
PR1314_3311,2015,Manhattan,108,
PR1314_3316,2015,Manhattan,172,
PR1314_3321,2015,Manhattan,138,
PR1314_3322,2015,Manhattan,162,
PR1314_3323,2015,Manhattan,117.333333333333,
PR1314_3324,2015,Manhattan,151.333333333333,
PR1314_3325,2015,Manhattan,183.333333333333,
PR1314_3330,2015,Manhattan,180,
PR1314_3335,2015,Manhattan,186,
PR1314_3351,2015,Manhattan,118.666666666667,
PR1314_3356,2015,Manhattan,159.333333333333,
