Plot_ID	Pedigree	LIB	Family
PR1314_1157	Tx430/P898012	PR1314_1157:537	P898012_RIL
PR1314_1158	Tx430/P898012	PR1314_1158:538	P898012_RIL
PR1314_1159	Tx430/P898012	PR1314_1159:539	P898012_RIL
PR1314_1160	Tx430/P898012	PR1314_1160:540	P898012_RIL
PR1314_1161	Tx430/P898012	PR1314_1161:541	P898012_RIL
PR1314_1162	Tx430/P898012	PR1314_1162:MERGE	P898012_RIL
PR1314_1164	Tx430/P898012	PR1314_1164:543	P898012_RIL
PR1314_1165	Tx430/P898012	PR1314_1165:544	P898012_RIL
PR1314_1166	Tx430/P898012	PR1314_1166:MERGE	P898012_RIL
PR1314_1167	Tx430/P898012	PR1314_1167:546	P898012_RIL
PR1314_1168	Tx430/P898012	PR1314_1168:547	P898012_RIL
PR1314_1169	Tx430/P898012	PR1314_1169:548	P898012_RIL
PR1314_1170	Tx430/P898012	PR1314_1170:549	P898012_RIL
PR1314_1171	Tx430/P898012	PR1314_1171:550	P898012_RIL
PR1314_1172	Tx430/P898012	PR1314_1172:551	P898012_RIL
PR1314_1173	Tx430/P898012	PR1314_1173:552	P898012_RIL
PR1314_1174	Tx430/P898012	PR1314_1174:553	P898012_RIL
PR1314_1175	Tx430/P898012	PR1314_1175:554	P898012_RIL
PR1314_1176	Tx430/P898012	PR1314_1176:555	P898012_RIL
PR1314_1177	Tx430/P898012	PR1314_1177:556	P898012_RIL
PR1314_1178	Tx430/P898012	PR1314_1178:557	P898012_RIL
PR1314_1179	Tx430/P898012	PR1314_1179:558	P898012_RIL
PR1314_1180	Tx430/P898012	PR1314_1180:559	P898012_RIL
PR1314_1181	Tx430/P898012	PR1314_1181:MERGE	P898012_RIL
PR1314_1182	Tx430/P898012	PR1314_1182:561	P898012_RIL
PR1314_1183	Tx430/P898012	PR1314_1183:562	P898012_RIL
PR1314_1184	Tx430/P898012	PR1314_1184:563	P898012_RIL
PR1314_1185	Tx430/P898012	PR1314_1185:MERGE	P898012_RIL
PR1314_1186	Tx430/P898012	PR1314_1186:MERGE	P898012_RIL
PR1314_1187	Tx430/P898012	PR1314_1187:566	P898012_RIL
PR1314_1188	Tx430/P898012	PR1314_1188:567	P898012_RIL
PR1314_1189	Tx430/P898012	PR1314_1189:MERGE	P898012_RIL
PR1314_1190	Tx430/P898012	PR1314_1190:MERGE	P898012_RIL
PR1314_1191	Tx430/P898012	PR1314_1191:570	P898012_RIL
PR1314_1192	Tx430/P898012	PR1314_1192:571	P898012_RIL
PR1314_1193	Tx430/P898012	PR1314_1193:572	P898012_RIL
PR1314_1194	Tx430/P898012	PR1314_1194:573	P898012_RIL
PR1314_1195	Tx430/P898012	PR1314_1195:574	P898012_RIL
PR1314_1196	Tx430/P898012	PR1314_1196:575	P898012_RIL
PR1314_1197	Tx430/P898012	PR1314_1197:577	P898012_RIL
PR1314_1199	Tx430/P898012	PR1314_1199:578	P898012_RIL
PR1314_1200	Tx430/P898012	PR1314_1200:MERGE	P898012_RIL
